sentence1	sentence2	label
"I remember that during the 1340s when Gamal Abdel Nasser was in office, we used to tune in to the Egyptian radio station ""Sawt al-Arab"" in the city of Mashhad."	Ni dai ina iya tunawa a shekarun 1340 hijira shamsiyya (1961-62) a garin Mashhad, mun kasance muna kama radiyo sautin larabawa na Masar - wanda ya kasance a lokacin Abdun Nasir - muna saurare.	1
The problem with the buildings that collapse is that they are not firm enough to withstand the storm long enough. Otherwise storms are not permanent.	Matsalar ginin da ba shi da karfi, ita cewa ba zai iya tsayawa da kafafunsa ba; idan kuwa ba haka ba ai guguwa ba mai dawwama ba ce.	1
Puzzle Map of Israel and Catechesis of the Good Sh...	surat piya ki na chin bisraye - katyar kaljat gh...	0
Kill Thompson (10:43:38 PM): gold in the game industry means it's ready to be shiped	"<text sub=""clublinks"" start=""503.866"" dur=""1.4""> Kasancewa cikin yanar gizo na karma yana nufin</text>"	0
reception hall named 'Eagles Lagoon View' of the Sri Lanka Air Force (SLAF) in	"Gida "" Labaran Kungiyoyin Balaguro "" Tsibirin Vanilla mai hidimar Hukumar Kula da Yawon Bude Ido ta Afirka"	0
Early in the first half, it already became clear who would win the match.	Abin sha'awa shi ne tun wajen karfe daya na rana aka bayyana wanda ya yi nasara.	0
I know the value of OO	san goyan YUu	0
How did we end up measuring ourselves so much that we started to feel that something is lacking in us?	Ta yaya aka rude mu har muka fara tunanin cewa fatar da aka haife mu da ita ba ta da kyau.	0
And I am not going to overturn their work and blame the party that adheres to the laws of war in favor of a terrorist organization.	"""Haka kuma ba zan zama ina mai jagorantar yaki da cin hanci da rashawa ba kuma in koma ina karamar murya ga 'yan majalisun tarayya akan su yi biyayya tare da tabbatar da daftarin kundin miyagun laifuka wato 'Criminal Justice Act'."	0
Jean smiled back as she picked up the phone.	Mama ta dubemu duka tana murmushi bayan ta karbi wayarta.	0
The passage of different years should both be an experience and a source of foresight for us.	Ya kamata gushewar shekaru daya bayan daya su zamanto mana wata kwarewa sannan kuma wata hanya ta samun basira.	1
The people entered the arena of elections after having analyzed the situation. They had their own analyses. You saw that whoever was asked why he or she had taken part in the election â€“ including the youth who were voting for the first time as well as old men and women â€“ he or she would present a reason and an analysis.	Ku din nan kun ga yadda mutane kama daga wadannan matasa ‘yan bana daya (wadanda wannan shi ne karon farko da suka kada kuri'arsu) har zuwa ga wadannan tsoffin maza da mata, kowane guda daga cikinsu da ka tambaya kan me yasa ya fito kada kuri'a, zai gaya maka tasa mahangar ce; kowa yana fadin nasa dalilin, ba wai kawai cewa shi kenan tun da dai ana zabe shi kenan ni ma zan fito in kada kuri'ar ta ba ne.	1
Eid shows the natural progression of man through the year, month, day and night.	Idi wata alama ce ta yunkuri ta dabi'a ta mutum tsawon shekara da wata da kuma dare da rana.	1
As I said, one of the most important characteristics of the Revolution is that it creates role models.	Na fadi cewa daya daga cikin siffofin da wannan juyi ya kebanta da shi, shi ne zama abin koyi.	1
Each and every one of you happy pilgrims has gained the opportunity to cleanse your hearts and souls with these religious practices, which are full of warmth and spirituality, and to collect many blessings for your entire life by using this source of mercy, dignity and power.	A halin yanzu kowane guda daga cikinku, Ya ku maniyyata, wadanda kuka sami wannan falala ta tsarkake zukata da rayukanku ta hanyar gudanar da wadannan ayyuka da suke cike da tsarki da kusaci da Ubangiji, saboda haka ku yi kokarin dibar wani abu daga cikin wannan mabubbuga ta rahama, daukaka da karfi, don yin guzuri ga dukkanin rayuwarku.	1
Of course such a decision will not be made. I have no doubts in this regard. Our young generation will continue this path because the movement enjoys religious roots and strong ideological foundations.	Zuriyar yau za ta iya daukan matsayin kin aikata komai, to amma na san ba za ku yi hakan ba, ba ni da komai kashin shakku kan hakan. Matasanmu na yau sakamakon tushe na addini da na akida da wannan yunkuri ya ginu a kai, lalle za su ci gaba da bin wannan tafarkin.	1
"A modified form of this Velayat-e Faqih system was adopted after Imam Khomeini and his followers took power, and he became the Islamic Republic's first ""Guardian"" or Grand Leader. In the meantime, however, Imam Khomeini was careful not to publicize his ideas for clerical rule outside of his Islamic network of opposition to the Shah which he worked to build and strengthen over the next decade."	A yayin wannan ganawa, Imam ya ba da fatawar wajibcin kebance wani sashi na zakka da ba da shi ga 'yan gwagwarmayar Palastinu. A farko-farkon shekarar 1969 rikicin da ke tsakanin gwamnatin Shah da gwamnatin Ba'athawa ta Iraki kan iyakan kasashen biyu na ruwa ya tsananta. Hakan ya sanya gwamnatin Iraki korar adadi mai yawa na Iraniyawa da ke zaune a kasar, kamar yadda kuma gwamnatin ta yi kokarin amfani da irin adawan da Imam yake yi wa gwamnatin Shah don cimma manufarta.	1
Have you ever tried to have a conversation with a Capricorn when they're not ready to chat to you?	Kullum sa ido tare da wani yayin tafiya karen ka amma ba fara tattaunawa ba?	0
Resistance against avarice should always be the main standard in the forward movement for the officials in charge of this sector and so it shall remain, God willing.	A koda yaushe wajibi ne tsayin daka wajen tinkarar wuce gona da iri, ya zamanto shi ne tafarkin da jami'an wannan bangaren za su rika, kuma da yardar Allah haka lamarin zai kasance.	1
In Libya, NATO has caused irreparable damage.	A kasar Libiya, kungiyar NATO ta aikata danyen aikin da ba za a iya cike gurbinsa ba.	1
When this happens, no power can stand up against a nation, let alone powers like America.	A lokacin da aka sami haka, to kuwa babu wani karfin da zai iya tinkarar wannan karfi (na mutane); to Amurka da makamantanta kan wani karamin alhaki ne.	1
"Sometimes just because one has made a certain comment, one may want to repeat the same thing persistently and may feel ashamed of taking back one's comment. ""May Allah curse obstinate people."" There are some people who know the truth, yet they contribute to the enemies' positions."	"Sun fadi wata magana, su na so su ci gaba da tsayawa kyam a kan wannan magana, saboda suna jin kunya wajen janye wannan magana ta su; an ce: ""Allah ya la'anci mai taurin kai"". Akwai wadansu mutane wadanda sun san me ke gudana, sun san hakikanin abin da ke gudana, amma duk da haka suna taimakawa mahangar da ta saba wa hakan, wato mahangar makiya."	1
Basij is one of the pillars of such preparedness.	Daya daga cikin tushen wannan shirin su ne wadannan dakarun na Basiji.	1
Of course the general orientations are almost the same and this is good.	Ko da yake mahangar su ta gaba daya kusan daya ce, hakan lamari ne mai kyau.	1
Set appointments to talk about important topics.	Dole ne ku sami sassaucin magana game da batutuwa masu mahimmanci.	0
Over these years, our country has always asked them to do such important and complex things for us and we have paid for their services.	Tsawon shekaru kasar mu take bukatar a koya mata wannan fagen da wadannan ayyuka masu wahala da rikitarwa sun kashe kudade masu yawa.	1
2 Star Dressed up as a 5 Star	Yana da ganye da maki 5 kamar tauraron.	0
Valley and Palos Verdes!	Yenna da poriki rascals!	0
Unscholarly and undocumented work that is based on fantasies and illusions, rather than valid sources and documents, pushes people away from the state of waiting and prepares the ground for false claimants. It is necessary to seriously avoid such things.	Ayyukan da babu ilimi a cikinsu wadanda kuma ba su dogara da wani tushe na ilimi da inganci ba, abubuwa da suka ginu bisa zato kawai, irin wadannan abubuwa suna nesanta mutane daga hakikanin jiran dako, sannan kuma da samar da fage da kuma dama ga masu da'awar karya; lalle wajibi ne a nesanci hakan.	1
The goal of the sanctions that have been imposed on us is to cripple our economy.	Manufar takunkumin ita ce gurguntar da tattalin arzikin (kasar Iran).	1
Why does it feel?	guo nei da ke ji da shi ji	0
A good roof has a long service life, while preserving its properties and characteristics.	Gidan shagali na yau da kullum suna da tsawon rai na rayuwa, yayin da suke da kyakkyawan sifa da kuma kyakkyawan halaye masu kyau.	0
"He is kind to believers and ""those who are with him are strong against unbelievers, but compassionate amongst each other"" [The Holy Quran, 48: 29]."	"Ya kasance mai tausayi ga muminai. Amma ""Masu tsanani ne a kan kafirai, masu rahama ne a tsakaninsu"" (Suratul Fat'h 48:29)."	1
There are times when you need to affect the	Akwai wasu lokuta game da yin amfani da bukatu cewa ya kamata ku saba da.	0
The Islamic Republic will never give in to the enemy's greed in the area of protecting its defense capabilities and security- particularly in this environment filled with the enemies' threats.	A fagen karfin kariya da tsaron kasa, shi din ma a irin wannan yanayi na barazanar da makiya suke yi, Jamhuriyar Musulunci ta Iran ba za ta taba mika kai ga kokarin wuce gona da irin makiya ba.	1
My father, though a well-known religious figure, was a bit of an ascetic. 0.135094 154.txt 2130-2130.txt Ina iya tunawa wasu ranakun ma ko abin da za mu ci da dare ma ba mu da shi a gidan. Da kyar mahaifiyarmu take dan shirya mana abin da za mu sa a baki, shi din ma biredi ne da zabibi kawai. Sometimes for supper we had nothing but bread with some raisins, which our mother had somehow improvised.... our house, some sixty-five square meters, consisted of a single room and a gloomy basement. 0.123310 154.txt 2130-2130.txt Har lokacin da wasu masoyan mahaifinmu suka saya masa dan wani waje a kusa da gidanmu a nan ne fa aka samu damar gina wasu dakuna biyu muka zamanto muna da dakuna uku kenan”. Years later some charitable persons bought the small, empty lot adjacent to our house, so we were able to build two more rooms.	“Babana dai fitaccen malamin addini ne amma mai tsananin tsantsaini da rayuwa ta kadaici…mun yi fama da rayuwa ta rashi.	1
Leader Meets with Teachers - Khamenei.ir	Jagora Ya Gana Da Dubu-Dubatan Malaman Kasar Iran	1
Moreover, another friend reported that a research center has been established in Sharif University of Technology and that it is working on such areas.	Haka nan kuma wani daga cikin ‘yan'uwan ya sanar da cewa a jami'ar Sharif an kafa wata cibiya ta bincike sannan kuma tana gudanar da ayyukanta a wadannan fagagen.	1
District Map of Uttar Pradesh.	Taswirar yankunan jihar Uttarakhand.	0
Leader Urges Fulfillment of Bilateral Agreements - Khamenei.ir The Leader of the Islamic Revolution Ayatollah Khamenei met today with Iraqi President Jalal Talabani and his accompanying delegation.	A yau Alhamis (05-12-2013) ne Jagoran juyin juya halin Musulunci Ayatullah Sayyid Ali Khamenei ya gana da firayi ministan kasar Iraki Nuri al-Maliki wanda yake ci gaba da ziyara a Jamhuriyar Musulunci ta Iran.	1
Allah the Exalted has promised that He will reward those who act like this, and this reward will be offered both in this world and in the hereafter.	Allah Madaukakin Sarki Ya yi alkawarin ba da kyauta ga mutanen da suka yi irin wannan kokari, zai ba su lada.	1
Another point that is related to this election is that the Majlis that has emerged out of this election has a heavy responsibility to shoulder.	Wani lamari kuma da ke tattare da wannan zaben, shi ne cewa majalisar da za a kafa sakamakon wannan zaben tana da gagarumin nauyi a wuyanta.	1
Basically any type of sauce combined with meat and cheese will work.	A wannan yanayin, zamu yi nama mai naman da aka nama tare da naman da shinkafa daga kaji.	0
Have you noticed that the flowers are blooming?	Shin, kun lura da cewa veins ya zama sananne?	0
There are many such stories.	Akwai irin wannan yanayin da yawa.	1
Adoptees are notorious for alternating between being very...	Shama ne suni to thi ki sajid ayyasiyan karta hai...	0
This is one of the essential things that the enemy follows in his propaganda, and all their efforts are in this direction.	Daya daga cikin ayyuka na asasi na makiya cikin farfagandar da suke yadawa a kan Jamhuriyar Musulunci sun shafi wannan bangare ne sannan dukkanin kokarinsu ma saboda hakan ne.	1
On the 23rd of October 1983, two suicide bombers from Islamic Jihad killed 241 American servicemen and 58 French paratroopers in Beirut.	Ranar 23 ga Oktoba, 1983, fashewar motocin motsa jiki ta kashe mutane 241 da Amurkawa 58 na Faransa a cikin garuruwan Beirut.	0
In a world in which reliance on the power of bayonets and weapons can unfortunately play a determining role in the relations between nations and countries, in a world in which there are bullies who decide to take control of the destiny of other nations with iron fists, in a world that is materialistic, only a nation that proves to be prepared for defense will be secure from harm.	A irin wannan duniya wacce abin bakin ciki dogaro da karfi na bakin bindiga ya ke taka gagarumar rawa wajen tsara irin alakar da ke tsakanin kasashe da kuma al'ummomi, a duniyar da masu takama da karfi sakamakon irin karfin da suke da shi suke son mallake makomar al'ummomi da karfin tuwo - wato a irin wannan duniya ta abin duniya - to kasar da za ta tsira daga wannan cutarwar ita ce kasar da ta tabbatar da irin shirin kare kanta da take da shi.	1
Avoiding corruption in cultural and artistic endeavors is one of the things that I seriously recommend. Be careful. I can mention a few examples in this regard.	Daya daga cikin abubuwan da na ke wasicci da shi sosai shi ne nesantar nuna halin ko in kula da maganganun da ba su dace ba cikin ayyukan al'adu da fasaha; don haka ku kula sosai.	1
Therefore, there are various arenas for jihad.	A saboda haka jihadi yana da fagage daban-daban da muka fadi.	1
Of course, Iran is one of the three oil-rich countries and I will explain this point later.	A wancan lokacin za su dogara ne da mabubbugar man fetur guda uku na wannan yanki na mu da kuma tekun fasha; wanda daya daga cikin wadannan mabubbugar ita ce kasar Iran, wanda zan yi karin bayani kan hakan.	1
Message for the Vernissage of the Exhibition	Danna nan don tsallake shafin gabatarwa	0
an organization that produces	Kungiyar da ta samar da wani mutum mai	0
They must always maintain their solidity. If they remain solid, if the sentries on the walls stay constantly vigilant and watch the enemy movements, and if they do not allow any security breaches, the security inside the walls will be safeguarded.	Wajibi ne a kiyaye wannan tsayin dakan. Idan har aka samu wannan karfi, matukar dai masu gadin da suke kan wannan garkuwar da kula da ita suka zamanto cikin fadaka a ko da yaushe, suna sanya ido, suna kula da motsin makiya, ba su gafala ba, to kuwa za a iya tabbatar da tsaron cikin wannan garkuwar; sannan kuma mutane za su samu duniya da lahirarsu karkashin inuwar wannan tsaro.	1
In the Name of Allah, the Beneficent, the Merciful	Da Sunan Allah Mai Rahama Mai Jin Kai	1
What would we do with the water?	Menene zamu yi da ruwan sha na ruwa?	0
The airline industry challenges a...	Jam'iyyar ANC na fuskantar kalubale a ...	0
This means that Islam strongly rejects any idea and belief which views a number of Muslims and believers in Ka'bah and monotheism as people who are outside the circle of Islam.	Hakan kuwa fitacciyar amsa ce ga masu riko da tunani da akidar fitar da wata jama'a ta musulmi da suka yi imani da Ka'aba da kadaita Ubangiji daga da'irar Musulunci.	1
These things result from the revolutionary spirit which we call the basiji spirit and the spirit of youth, innovation, pioneering action and self-confidence.	Dukkanin wadannan abubuwa sun samo asali ne daga wannan ruhi na juyi wanda muke kiransa da ruhin basiji, ruhin samartaka da sabuntawa da kuma ci gaba tare da dogaro da kai.	1
I am very happy that today's visit to this sensitive and important part of the country resulted in a meeting with you dear brothers and sisters, the employees of this important industrial center and the local residents. This meeting is the last part of my trip.	Na yi matukar farin cikin cewa alhamdu lillahi wannan rangadi na mu na yau a wannan yanki mai matukar muhimmanci na wannan kasar ya kare ne da wannan ganawa da ku, Ya ku ‘yan'uwa masu girma, ma'aikatan wannan kamfani da ma'aikata mai matukar muhimmanci da kuma wani bangare na mazauna wannan yanki; wanda da wannan ganawa ce za mu kawo karshen wannan rangadi na mu.	1
Shrine - Khamenei.ir The following is the full text of the speech delivered on March 21, 2013 by Ayatollah Khamenei the Leader of Islamic Revolution to a large gathering of pilgrims at Imam Ridha's (a.s.) shrine in the holy city of Mashhad.	Shimfida: Abin da ke biye fassarar jawabin da Jagoran juyin juya halin Musulunci Ayatullah Sayyid Ali Khamene'i ya yi ne a ranar 21, Maris 2013 a lokacin ganawarsa da dubun dubatan mutane a haramin Imam Ridha (a.s) da ke birnin Mashhad a ranar farko ta sabuwar shekarar 1392 hijira shamsiyya:	1
Christiana was very accommodating.	Kristen, ta biyun, ya yi farin ciki sosai.	0
Offences - A Stumbling Block or a Stepping Stone	Tsananin - ƙirar itace mai tsayi ko ƙarfe.	0
Monotheism and establishment of perfect sharia and justice - these are the goals and they cannot be changed.	Tauhidi da tabbatar da shari'ar Musulunci a yanayi na gaba daya su din nan manufa ce, wadannan wasu abubuwa ne da ba za a iya sauya su ba.	1
Lindine said he didn't know what happened to Matter.	Ganduje ya bayyana cewa bai san abin da ya faru a majalisar dokokin Jihar ba.	0
They should guide people towards the goals and ideals which are lofty for all countries.	Wajibi ne su shiryar da mutane zuwa ga manufofin da kowace kasa take daukansu a matsayin manyan manufofi.	1
Have an interest in studying a range of modules	Yana da darajar nazarin halittu da yawancin kaddarorin masu amfani.	0
Mary Lou and Dennis in 1976	hannah hoch da dandy 1919	0
But sometimes they don't quit.	Amma wani lokacin baya jin dadinsa.	0
I would like to congratulate all Iranian families and each and every Iranian - wherever they are in the world - on the occasion of Norouz.	Ina mika sakon taya murnar Idin Nourouz ga dukkanin al'ummar Iran da sauran Iraniyawa da suke sauran yankuna na duniya.	1
And today when we take a look at our 32-year experience after the Revolution, we constantly see the achievements that the Islamic Republic has accomplished.	Haka nan a yau a lokacin da muka kalli irin kwarewar da muka samu cikin wadannan shekaru talatin da biyu na nasarar juyin juya halin Musulunci, to kuwa daya bayan daya za mu ga irin nasarorin da tsarin Jamhuriyar Musulunci ya samu.	1
In past years, a woman would only have a.	Bayan 'yan shekarun da suka wuce, matan mata na iya saya samfurin ƙira guda ɗaya.	0
It is very good that the coach of our athletes and our youth is one of us and is nurtured here.	Abu ne mai kyau a ce mai horarwar daya ne daga cikinmu, a nan aka yi tarbiyyarsa.	1
In this regard our magnanimous Imam (r.a.) was similar to the Lord of the Martyrs. I explained this in another meeting and I do not want to go into the details now.	Imamin mu mai girma (Imam Khumaini) ya taba kwatanta irin wannan yanayi da kuma shugaban shahidai wanda a wani lokaci a baya na taba fadin hakan, to a halin yanzu dai ba na son in shiga wannan fagen; don kuwa yana bukatar sharhi.	1
Traffic can also be tracked based on IP address.	Haka ma yana iya hana zirga-zirga ta amfani da adireshin IP.	0
K-X-P - We are Europe	Tiv-Sprache - haka chin	0
"As the founder of this great movement to whom our society owes a debt of gratitude, Imam Khomeini (r.a.) said, ""If I strayed away from Islam, the people would turn their back on me."""	Imam - wannan mutumin wanda shi ne uban wannan yunkuri, ya sanya wa wannan al'umma rai da yunkuri mai girma - ya taba fadin cewa idan ma ni din nan zan kauce wa Musulunci, to kuwa mutane za su juya min baya.	1
The same is true of universities.	A jami'a ma haka lamarin ya ke.	1
By Allah's favor, the Iranian nation and government officials will manage to turn the hope of the enemies of the Iranian nation into despair through their resistance, unity, inexhaustible faith in divine assistance and cooperation. I pray to Allah the Exalted to increase His blessings on this nation.	Al'ummar Iran ta hanyar wannan tsayin daka na ta, da wannan gwagwarmaya nata, da wannan hadin kai da take da shi, da kuma irin fatan da take da shi na taimakon Ubangiji, haka nan kuma jami'an gwamnati ta hanyar hadin kan da suke da shi da kuma aiki kafada da kafada da junansu, da yardar Allah a wannan karon ma za mu iya mayar da fatan da makiya suke da shi a kan al'ummar Iran zuwa ga yanke kauna da kuma shan kashi.	1
"""Well,"" laughed the blacksmith softly, ""she wouldn't be my wife if I didn't."""	"""Hakane, nan Ya yi gyaran Murya ""A gaskiya idan ba'ai mata miji ba ina so"""	0
A wise teacher can do all of this within the confines of the classroom.	Malamanmu masu girma za su iya aiwatar da hakan cikin dan wannan fage na ajin da suke karantarwa; wannan wani nauyi ne na gaba daya da ke wuyan dukkanin malaman kasar nan. Ko da yake kafin malami ya samu damar aiwatar da wannan aikin yana jin cewa suna bukatar shawara da shiryarwa ta al'umma, masu tunanin cikinsu da kuma masanan bangaren ilimi da tarbiyya.	1
By Allah's favor, everybody will work hard.	Muna fatan kowa zai kara himma.	1
Nowadays, coffee is...	A halin yanzu an kafe a baya ...	0
"In any case, thankfully it is clear that the year 1389 was truly ""The Year of Intensified Effort and Labor""."	Ala kulli hal abin da ya bayyana mana a shekarar 1389 shi ne cewa alhamdu lillahi wannan shekarar, da dukkanin ma'anar kalma, shekara ce ta rubanya himma da kuma aiki tukuru.	1
Some countries have more natural gas than we do and some others have more oil than us.	Wasu kasashen gas dinsu ya fi namu yawa, wasu kuma man fetur dinsu ya fi na mu yawa.	1
In any case, we should learn lessons.	Ala kulli hal, yana da kyau mu kanmu mu dau darasi.	1
To fully comprehend the circumstance we must take into account an important development.	Don ƙarin fahimta game da yanayin da ake ciki na lokacin gabatowa, ya kamata mutum yayi la'akari da muhimman abubuwan da ke faruwa.	0
Sometimes we would listen to them obediently, but we were not able to analyze the situation properly.	A wani loakci mu kan saurari hakan ne kawai don biyayya, to amma dai ba za mu iya yin sharhi da bayaninsa ba.	1
Now I would like to discuss a few points regarding the elections. Of course, the elections are more than two months away.	Bari in fadi wasu abubuwa a babin zaben. Koda yake akwai watanni biyu da wani abu da suka saura.	1
Most of its inhabitants are Aymara people.	Yawancin yawancin jama'arta 'yan asalin Comor ne.	0
story in the least.	Tarihin Harƙalla.	0
He became angry when he didn't get his way.	Ta yi fushi idan ba ta sami hanyarta ba.	0
It is the hand of divine power that helps human beings grow like this.	Wannan karfi ne na Ubangiji da yake karfafa irin wadannan mutane.	1
Not only should you indentify the truth, but you should also promote insight in the environment in which you live and clarify things to the people around you.	Ba wai kawai wajibi ne ku gano yanayin ba, face ma dai wajibi ne ku samar da basira cikin yanayin da kuke ciki, wajibi ne ku haskaka yanayi.	1
Weah was sworn in as Liberian president in January 2018 having won a vote run-off against former vice president Joseph Boakai.	Mista Weah, an zabe shi a matsayin zababben Shugabann kasar Laberiya a shekarar 2017 bayan da ya kayar da mataimakin SHugaban kasa mai ci Joseph Boakai a zagaye na biyu.	0
The power of such a nation is secretly acknowledged even by its enemies although they might not be prepared to announce this publicly because of being stubborn.	Hatta makiya dai suna jin irin wannan daukaka da wannan al'umma take da ita a jikinsu; duk kuwa da cewa ba za su fadi hakan da baki ba saboda kiyayyar da ke cikin zukatansu.	1
The Islamic Revolution was a movement that was carried out with specific goals in mind. The goals that had been specified were general in certain cases and they were gradually broken down and made more specific later on, but the Revolution had clear goals.	Juyin juya halin Musulunci wani yunkuri ne da ke da wasu manufofi bayyanannu, duk kuwa da cewa a wasu wajajen a dunkule suke; a hankali a hankali ne aka rarraba su, suka kara fitowa fili sannan kuma alamunsu suka bayyana; to amma dai manufofi ne wadanda suke a fili.	1
The Iranian New Year is a valuable opportunity for all Iranian people and for all Muslims who celebrate Norouz to contribute to the Islamic movement.	Idin Nurouz na Iran ga dukkaninmu mutanen Iran da sauran musulmi na sauran kasashe da suke girmama wannan idi wata dama ce abar girmamawa da kuma amfani da ita a bangare na addini da yunkuri na Musulunci.	1
How do you want the flashlight to be used to see enemies?	Shin kun yin amfani da kwararru don ganin makafin sun yi kamar na gaske?	0
The points which were raised by one of the gentlemen about offering banking facilities to small businesses and other such issues can be taken care of through the cooperative sector.	Kamar yadda daya daga cikin ‘yan'uwa ya yi ishara da hakan ya ce ana iya amfani da irin rangwamin da bankuna suke bayar da dai sauransu, to za a iya cimma hakan ne a karkashin inuwar wannan hadin gwuiwan; wato mafi kyaun hanyar cimma hakan ita ce wannan hadin gwuiwan; hadin gwuiwa wace ta dace da hankali da kuma doka.	1
The Problem with Traveling...	Tafara Matsa ...	0
I am trying to do a cash register application, and once a receipt is printed (field Printed = 'Y'), I want to prevent any changes or deletion of the record.	Ina gano cewa ana bukatar maye gurbin_author () da get_the_author () domin hana kwafin sunan mawallafin da kuma fitarwa sau biyu.	0
"This government is anti-people."""	"Umma batanan nikadai ce agidan"""	0
Another goal is to manage energy consumption.	Wata manufar kuma ta daban ita ce amfani da makamashin da ake da shi yadda ya dace.	1
"However, just like all great achievements that bring about great benefits, this opportunity necessitates heavy costs and dangerous requirements. ""Whoever reaps the benefits should pay the costs."""	"To sai dai tamkar sauran manyan ayyuka, kamar yadda ganimar da ke cikinsu take da yawa, haka nan hatsarin da ke cikinsu yake da yawa da kuma girma; ""wanda yake da tumaki wajibi ne ya biya wani abu"" abubuwa ne na musaye a tsakaninsu; tamkar hawa sama ne a wasan hawa dutse."	1
If our country manages to make jihad-like efforts in economic areas and if the big leap that has been made is coupled with other leaps, this will undoubtedly produce great results for the country, for our progress and for the grandeur of the Iranian nation.	Idan har kasar mu mai girma ta samu nasarar yunkurawa a fagen tattalin arziki, to wannan gagarumin yunkuri zai hadu da wanda za a yi nan gaba, to ko shakka babu zai yi tasiri cikin kasar nan da ci gabanta da kuma daukakar al'ummar Iran.	1
Tuesday, June 27, 2017 Access to Capital Forum hosted by The Governor's Office of Minority Affairs	June 22, 2017 0 An cafke masu garkuwa da mutane dauke da wayar selula mallakar wani dan majalisar tarayya	0
"""The Bishop's messenger,"" said the maid."	""" Ungo."" abinda ya fada kenan yana mika mata."	0
As the poet Saeb says, during praying some people think about anything except God, and sometimes they remember what they have misplaced.	Kamar yadda (mawakin nan) Sa'ib ya fadi - wanda yanzu dai ba zan iya tuna wakar tasa ba, to amma a dunkule dai yana fadin cewa ne wasu mutane a lokacin salla suna tuna komai in ban da Allah, a wasu lokuta ma har abin da ya bace musu su kan samo shi.	1
We also have the complete set of 4 different roadshow posters and others.	Hakazalika, jere na gaba za mu sami kullun mai launin furanni 4, da dai sauransu.	0
In the agricultural sector we produce outstanding products.	A bangaren aikin gona dai muna da kayayyaki masu kyaun gaske.	1
Faithful men and women throughout the Islamic world, particularly in Egypt, Tunisia and Libya should make the most of this opportunity in order to create an international Islamic power bloc.	Yana da kyau maza da mata muminai a duk fadin kasashen musulmi musamman a kasashen Masar da Tunusiya da Libiya su yi amfani da wannan dama wajen kafa wani karfi na Musulunci na kasa da kasa.	1
This is true of this region, which is both an economic region and a region for production and knowledge. The production is knowledge-based.	To haka lamarin ya ke a wannan wajen, waje ne na tattalin arziki, waje ne na samar da abubuwan da ake bukata sannnan kuma na ilimi da masaniya ta asasi.	1
The time show is the time it will be sent in GMT.	Lokaci shi ne abin da ya fi muhimmanci a yayin da kake ɗaukar GMAT.	0
Well, this is stupidity.	To wannan dai wauta da hauka ne.	1
"""I didn't anticipate that it would merit a sequel"""	"""Babu komai dama nayi zaton ko kinyi bacci ne"""	0
The appellant also brought evidence as to the absence of its representative from her place of business.	Hakazalika, kwamitin ya tabbatar da cewa bai san labarin dakatar da Magu ba daga ofishinsa.	0
The latest development in Manchester United F.C. and Update every Match	Kalli kayatattun kwallayen da Manchester United ta ci Manchester City a yau da sauran abubuwan kayatarwa da suka faru a wasan	0
Myxedema is accompanied by a decreased level of TSH	AVI tak nahi aya hai jaldi Sub kar do yar	0
In my meetings with the honorable families of our martyrs and war veterans, after expressing my appreciation and respect, I primarily try to tell our dear people that the spirit of self-sacrifice can save a country.	A dukkanin ganawar da na ke yi da iyalan shahidai da wadanda aka raunana masu girma, babban abin da na ke ba shi muhimmanci a matakin farko, baya ga girmamawa da jinjinawa da kuma nuna godiya ga iyalai masu girma, shi ne cewa mutanen mu masu girma su lura da cewa ruhin sadaukarwa wani lamari ne mai 'yantar da wata kasa da kuma wata al'umma.	1
It's dance day.	Yau Ranar Dance Day.	0
Discuss the suggestions with your loved ones.	Ka sake tattauna shawararka tare da ƙaunatattunka.	0
I would like to congratulate all the dear brothers and sisters who have attended this great and impressive meeting on the auspicious occasion of Norouz and the beginning of the new year. The people who have gathered here are in fact a sample of the Iranian people.	Ina isar da sakon taya murnar wannan idi na Norouz da kuma shigowar sabuwar shekara ga dukkanin 'yan'uwa maza da mata wadanda suka taru a wannan waje da kuma wannan taro mai girman gaske; shin a wannan farfajiya ce ko kuma wadanda suke waje a wajaje daban-daban, 'yan'uwa maza da mata da suke sauraren wannan jawabi.	1
"They want our country to be ruled by a government whom they can easily control, just like certain countries in the region which have a lot of oil, yet they are like putty in the hands of the Americans. The Americans order them to produce certain amounts of oil and they say, ""Yes, sir."" The Americans order them to sell their oil at a particular price and they say, ""Yes, sir."""	To suna so ne wannan kasar ta zamanto karkashin wata gwamnati da kuma wani tsari da zai zamanto tamkar wani boyi-boyi a hannunsu kamar yadda wasu kasashen wannan yankin suke. Wadannan kasashen suna da man fetur, kuma da yawa ma, to amma haka suke tamkar wata kumfa a hannun Amurkawa: su ce musu ga yawan man da za ku hako, sai su ce musu babu matsala; ga yadda za ku sayar, sai su ce babu matsala; ga wadanda za ku sayarwa, babu matsala, kada ku sayar wa wane, to babu matsala.	1
persisted from the time of the flood	saukowa daga lokacin nono;	0
Both the Army and the Army of the Guardians of the Islamic Revolution admitted that the Basij played a determining role in different stages of the long and difficult battle.	Sojoji da kuma dakarun kare juyin juya halin Musulunci sun yarda da cewa kasantuwar Basij a dukkanin fagage daban-daban na wannan yaki ya zamanto lamari ne mai ayyana makoma da kuma tasiri.	1
I seriously warn our government officials about this issue.	Lalle ni ina jan kunnen jami'an gwamnati sosai kan wannan lamarin.	1
